nome_completo,telefone,funcao,email
Ana Ribeiro,+351 912345678,Observadora / Follow-up,ana.ribeiro@neo.local
Miguel Santos,+351 934567890,Dinâmica / Órbitas,miguel.santos@neo.local
Beatriz Costa,+351 966778899,Instrumentação,beatriz.costa@neo.local
João Ferreira,+351 919876543,Pipeline / Software,joao.ferreira@neo.local
Sofia Almeida,+351 968112233,Observação (fotometria),sofia.almeida@neo.local
Tiago Pereira,+351 932221111,Astrometria,tiago.pereira@neo.local
Inês Martins,+351 965551212,Gestão de dados,ines.martins@neo.local
Rui Oliveira,+351 931234567,Coordenação do centro,rui.oliveira@neo.local
Carla Silva,+351 962222333,Observação (imaging),carla.silva@neo.local
Pedro Gomes,+351 963333444,Análise / QA,pedro.gomes@neo.local
Helena Duarte,+351 964444555,Planeamento observacional,helena.duarte@neo.local
Nuno Carvalho,+351 965555666,Operador,nuno.carvalho@neo.local
